9			
082401 	武器系统与工程 	5  	669
10007 	北京理工大学 		
20 			
010101 	哲学 	5  	 630
020101 	经济学 	5  	631
020401 	国贸 	6 	 632
050201 	英语 	4 	 633
070101 	数学与应用数学 	5 	 634
070201 	物理学 	3 	 635
080901 	计算机科学与技术 	5 	 636
080601 	电气自动化 	4 	 637
080201 	机械工程 	7 	 638
100201K 	临床医学 	3 	 639
130201 	音乐表演 	5 	 637
130508 	数字媒体艺术 	5 	 635
080204 	采矿工程 	2 	 633
080205 	农业工程 	4 	 631
080206 	环境科学与工程 	5 	 629
080207 	建筑学 	6 	 627
020301K 	财政学  	4  	 637
050101 	汉语言文学 	5  	 630
082001 	航空航天工程 	6 	 639
082401 	武器系统与工程 	5  	 640
			
10008 	北京科技大学 		
20 			
010101 	哲学 	5  	620 
020101 	经济学 	5  	 621
020401 	国贸 	6 	622
050201 	英语 	4 	623
070101 	数学与应用数学 	5 	624
070201 	物理学 	3 	625
080901 	计算机科学与技术 	5 	626
080601 	电气自动化 	4 	627
080201 	机械工程 	7 	628
100201K 	临床医学 	3 	629
130201 	音乐表演 	5 	630
130508 	数字媒体艺术 	5 	628
080204 	采矿工程 	2 	626
080205 	农业工程 	4 	624
080206 	环境科学与工程 	5 	622
080207 	建筑学 	6 	620
020301K 	财政学  	4  	618
050101 	汉语言文学 	5  	616
082001 	航空航天工程 	6 	635
082401 	武器系统与工程 	5  	634
			
10010 	北京化工大学		
20 			
010101 	哲学 	5  	620 
020101 	经济学 	5  	 621
020401 	国贸 	6 	622
050201 	英语 	4 	623
070101 	数学与应用数学 	5 	624
070201 	物理学 	3 	625
080901 	计算机科学与技术 	5 	626
080601 	电气自动化 	4 	627
080201 	机械工程 	7 	628
100201K 	临床医学 	3 	629
130201 	音乐表演 	5 	630
130508 	数字媒体艺术 	5 	628
080204 	采矿工程 	2 	626
080205 	农业工程 	4 	624
080206 	环境科学与工程 	5 	622
080207 	建筑学 	6 	620
020301K 	财政学  	4  	618
050101 	汉语言文学 	5  	616
082001 	航空航天工程 	6 	635
082401 	武器系统与工程 	5  	634
